observation_date,CCUSMA02IDQ618N
2020-01-01,14256.329314888000
2020-04-01,15005.368686868700
2020-07-01,14724.318871949299
2020-10-01,14386.344281322499
2021-01-01,14174.481228433400
2021-04-01,14406.533189033200
2021-07-01,14388.257575757500
2021-10-01,14261.994824016600
2022-01-01,14345.827915804000
2022-04-01,14539.479076479100
2022-07-01,14933.804849739599
2022-10-01,15563.734487734500
2023-01-01,15239.955862977600
2023-04-01,14867.666403162000
2023-07-01,15215.713595583200
2023-10-01,15624.624819624800
2024-01-01,15659.068322981400
2024-04-01,16151.905994729899
2024-07-01,15799.960537047500
2024-10-01,15797.325177238199
